age,taille,poids,revenu_estime_mois,historique_credits,risque_personnel,score_credit,loyer_mensuel,montant_pret
37,174.4,87.3,1989,0.0,0.29,828.0,10000.0,40000.0
36,171.4,65.9,2638,,0.29,,1067.99,
21,169.9,47.3,2724,5.0,0.53,697.0,5000.0,40000.0
36,161.9,79.7,2632,1.0,0.44,652.0,979.24,40000.0
45,173.8,63.9,2772,,0.83,,5000.0,
39,163.8,74.4,3476,1.0,0.25,474.0,10000.0,40000.0
32,153.1,36.9,3587,4.0,0.33,,5000.0,
71,188.2,67.8,1359,5.0,0.33,,10000.0,
18,177.7,63.5,2545,,0.62,,5000.0,
28,182.3,51.7,500,,0.11,,,
60,183.3,68.5,1673,,0.59,,10000.0,
20,168.5,98.1,1195,,0.94,,713.86,
20,181.1,57.3,3724,,0.48,726.0,5000.0,40000.0
38,182.6,48.8,3020,3.0,0.23,,,
75,181.4,59.9,3212,5.0,0.87,572.0,5000.0,40000.0
62,160.0,60.7,2776,,0.06,,856.71,
49,182.9,68.0,3433,,0.85,,5000.0,
49,176.4,89.9,4309,,0.18,574.0,658.33,40000.0
30,163.3,65.8,1785,,0.06,408.0,,
57,179.5,69.8,3367,,0.07,,1235.66,
37,180.7,74.9,3414,,0.76,525.0,1068.85,40000.0
75,172.1,64.7,2954,,0.3,,432.23,
19,172.9,42.7,4515,1.0,0.68,,,
65,161.7,64.8,3373,,0.55,,5000.0,
36,156.5,76.2,792,5.0,0.32,331.0,10000.0,40000.0
23,169.8,110.3,2129,,0.57,837.0,,
27,174.9,57.2,500,,0.84,726.0,10000.0,40000.0
65,179.1,100.3,2640,5.0,0.07,338.0,702.76,40000.0
71,172.3,75.9,1374,1.0,0.81,610.0,,
73,177.0,30.7,3345,1.0,0.53,776.0,355.95,40000.0
23,168.7,70.3,2981,,1.0,,,
43,179.3,102.2,500,,0.47,,1203.9,
38,168.0,106.2,4214,4.0,0.71,492.0,,
71,161.3,78.5,1677,,0.34,,10000.0,
18,169.5,78.0,2428,,0.97,836.0,10000.0,40000.0
18,157.5,79.9,2869,,0.48,616.0,5000.0,40000.0
57,162.1,83.3,500,,0.29,836.0,,
65,182.5,64.3,4416,,0.67,787.0,,
71,181.7,80.9,618,5.0,0.56,,,
26,170.1,62.3,2160,5.0,0.56,,,
28,188.5,59.2,1948,0.0,0.13,,10000.0,
74,165.0,83.7,2853,2.0,0.65,,,
43,176.5,82.6,2713,,0.68,485.0,,
28,180.8,73.2,3434,0.0,0.66,,10000.0,
34,183.0,59.3,3833,5.0,0.75,,,
46,176.0,67.2,606,4.0,0.41,,5000.0,
32,158.3,60.5,3578,,0.92,,,
30,168.2,90.6,2674,,0.39,,,
70,167.1,65.8,2980,0.0,0.31,,,
22,185.3,86.4,1944,,0.99,,10000.0,
19,157.7,75.2,3825,,0.03,358.0,770.43,40000.0
45,173.3,61.0,3879,,0.5,,10000.0,
40,167.8,41.1,2398,,0.97,,5000.0,
69,161.2,48.1,1222,,0.66,,,
37,146.1,82.9,2212,1.0,0.74,,,
44,165.5,75.9,3917,,0.96,,10000.0,
57,174.3,80.4,2567,5.0,0.03,474.0,5000.0,40000.0
65,171.7,95.0,2932,0.0,0.56,,5000.0,
28,176.0,50.4,1655,,0.68,555.0,,
55,164.4,64.7,4474,3.0,0.75,813.0,5000.0,40000.0
70,174.1,87.6,4788,5.0,0.3,750.0,,
55,164.0,76.3,2074,,0.92,473.0,10000.0,40000.0
60,173.3,69.9,2758,4.0,0.46,,997.91,
49,165.8,80.4,1744,0.0,0.25,,10000.0,
58,176.9,49.6,2851,3.0,0.01,625.0,5000.0,40000.0
57,155.9,60.8,2854,,0.69,660.0,325.6,40000.0
67,180.0,65.9,2000,3.0,0.73,580.0,389.3,40000.0
56,178.1,70.6,2714,,0.11,818.0,,
49,177.3,54.1,1367,4.0,0.04,489.0,,
75,181.6,63.0,2066,2.0,0.54,366.0,10000.0,40000.0
40,179.8,92.7,3455,,0.92,,5000.0,
55,160.1,89.9,3164,0.0,0.56,553.0,5000.0,40000.0
33,161.2,56.4,1294,,0.6,,5000.0,
71,153.8,77.0,2008,2.0,0.03,,,
61,163.5,47.0,2353,,0.56,819.0,,
65,151.5,30.9,1385,,0.09,,,
72,160.4,98.7,1540,4.0,0.09,,5000.0,
44,163.6,72.1,3217,1.0,0.26,,5000.0,
69,163.1,64.3,2481,5.0,0.17,,10000.0,
27,153.6,77.7,2285,,0.84,,,
22,171.0,68.0,500,,0.15,,921.66,
70,158.7,79.6,2122,,0.12,809.0,,
29,176.7,73.4,1309,0.0,0.76,,693.18,
67,184.7,103.2,1147,,0.8,,727.46,
50,171.8,87.6,1252,5.0,0.6,,728.08,
25,156.6,62.7,3623,,0.69,525.0,,
57,164.6,88.5,3841,1.0,0.09,644.0,5000.0,40000.0
34,168.4,67.4,3589,4.0,0.79,747.0,,
43,170.6,70.2,2637,0.0,0.61,,5000.0,
58,188.5,76.3,3140,0.0,0.2,,10000.0,
69,171.1,72.0,6298,1.0,0.02,,10000.0,
41,154.0,93.8,3160,,0.23,,,
32,176.3,81.0,2552,,0.96,558.0,1035.56,40000.0
35,178.6,68.6,3063,,0.39,,10000.0,
28,187.6,61.7,2693,2.0,0.23,332.0,10000.0,40000.0
73,157.4,74.6,3335,,0.78,800.0,,
53,180.3,71.9,3257,,0.59,,5000.0,
73,163.6,57.9,2820,3.0,0.38,557.0,438.07,40000.0
42,171.8,53.5,904,,0.16,718.0,10000.0,40000.0
25,183.1,64.8,2995,,0.89,,1119.47,
29,173.8,64.5,1747,5.0,0.62,,13.53,
21,176.7,51.6,1309,,0.95,,889.11,
42,183.2,42.9,1026,,0.29,,,
66,173.2,65.8,3231,,0.51,,,
39,172.0,84.9,2220,1.0,0.47,815.0,5000.0,40000.0
50,177.9,58.4,3415,5.0,0.73,,5000.0,
38,164.3,59.2,1980,,0.85,,10000.0,
71,162.6,81.5,2151,,0.12,450.0,703.15,40000.0
23,176.9,65.1,2100,5.0,0.12,,,
61,163.8,62.2,665,,0.18,841.0,10000.0,40000.0
66,168.7,72.0,1327,,0.37,,5000.0,
47,180.1,67.4,1831,1.0,0.21,,5000.0,
65,177.8,91.7,4190,,0.3,393.0,,
72,167.0,55.7,1686,5.0,0.71,740.0,10000.0,40000.0
39,153.3,72.1,2981,,0.58,,10000.0,
32,164.9,103.3,1896,,0.57,,,
59,152.7,44.6,3038,,0.14,588.0,10000.0,40000.0
55,177.5,53.6,500,,0.63,607.0,,
45,160.0,77.8,795,2.0,0.29,819.0,,
70,164.4,63.7,2835,0.0,0.53,663.0,5000.0,40000.0
19,177.5,74.0,3193,2.0,0.67,836.0,807.65,40000.0
35,162.7,59.6,829,0.0,0.3,459.0,5000.0,40000.0
68,163.0,66.6,3588,3.0,0.72,459.0,10000.0,40000.0
67,177.2,24.3,1959,4.0,0.49,565.0,10000.0,40000.0
30,172.0,82.8,2395,,0.66,,,
39,151.7,59.4,3696,3.0,0.69,305.0,10000.0,40000.0
21,175.3,70.6,3808,1.0,0.92,805.0,,
53,165.3,77.5,5055,2.0,0.65,,5000.0,
57,162.7,81.3,3628,,0.76,720.0,952.2,40000.0
36,182.4,58.2,2423,,0.72,735.0,,
33,170.4,53.1,500,,0.31,825.0,5000.0,40000.0
29,161.2,75.9,1369,4.0,0.87,431.0,10000.0,40000.0
21,176.0,93.2,3355,,0.87,416.0,5000.0,40000.0
26,158.3,50.1,2414,2.0,0.86,453.0,5000.0,40000.0
63,163.5,59.3,1528,,0.75,,793.44,
53,168.3,40.7,1810,,0.68,,,
25,152.9,63.0,1937,,0.81,,838.68,
57,164.0,54.4,2010,1.0,0.24,,5000.0,
18,186.0,63.0,4982,,0.24,355.0,920.86,40000.0
72,173.6,72.8,3640,,0.69,751.0,5000.0,40000.0
69,172.2,57.9,3523,1.0,0.03,,5000.0,
23,142.5,65.0,1413,0.0,0.48,,5000.0,
28,173.7,62.7,2594,1.0,0.59,602.0,,
26,165.3,74.7,3058,,0.77,780.0,,
64,161.2,86.9,1945,0.0,0.52,,10000.0,
30,171.7,65.5,4500,,0.65,,512.66,
68,155.3,82.2,818,0.0,0.3,452.0,5000.0,40000.0
49,185.7,48.5,500,1.0,0.83,330.0,5000.0,40000.0
36,173.2,63.3,3099,1.0,0.31,,5000.0,
70,175.3,62.5,4376,0.0,0.64,,-74.21,
61,159.5,60.4,1905,1.0,0.5,371.0,10000.0,40000.0
31,169.5,71.4,923,,0.89,,10000.0,
60,164.0,74.3,500,,0.17,506.0,10000.0,40000.0
57,158.0,76.3,1820,2.0,0.21,357.0,914.15,40000.0
30,164.7,72.9,3748,,0.82,,702.3,
61,164.0,39.1,832,,0.35,590.0,5000.0,40000.0
30,163.3,78.7,2061,,0.47,651.0,10000.0,40000.0
49,167.2,69.2,5593,,0.43,,,
33,168.6,46.3,2931,2.0,0.38,817.0,5000.0,40000.0
23,171.8,78.1,500,2.0,0.57,686.0,10000.0,40000.0
75,168.4,50.0,1981,4.0,0.75,,10000.0,
19,167.6,91.7,3958,2.0,0.52,,10000.0,
66,179.0,69.5,1542,1.0,0.3,679.0,10000.0,40000.0
65,181.7,81.3,2014,2.0,0.37,,5000.0,
44,155.5,79.4,2770,3.0,0.62,,,
63,153.0,83.4,4566,,0.69,399.0,5000.0,40000.0
43,152.5,69.1,2340,4.0,0.48,640.0,5000.0,40000.0
60,175.4,59.1,1875,,0.44,742.0,966.92,40000.0
37,181.1,49.2,2838,0.0,0.74,332.0,5000.0,40000.0
51,153.3,67.4,1705,,0.01,679.0,5000.0,40000.0
70,179.4,83.7,1272,4.0,0.7,411.0,5000.0,40000.0
23,172.8,43.4,3041,,0.88,,,
21,171.9,69.3,3867,,0.46,,1210.3,
44,159.1,68.3,2202,,0.2,483.0,5000.0,40000.0
33,163.7,58.6,1750,,0.81,,,
18,178.9,71.8,2981,2.0,0.83,531.0,10000.0,40000.0
62,174.4,45.0,3457,4.0,0.87,738.0,10000.0,40000.0
41,185.9,63.0,3876,3.0,0.66,,5000.0,
38,176.0,73.7,3275,,0.75,848.0,5000.0,40000.0
58,182.0,88.2,3343,1.0,0.41,376.0,10000.0,40000.0
29,177.3,66.4,2821,0.0,0.71,502.0,1109.04,40000.0
38,182.5,57.3,2988,3.0,0.48,,661.5,
40,177.4,59.2,2758,4.0,0.82,,10000.0,
39,188.2,55.1,3309,,0.67,773.0,10000.0,40000.0
26,151.9,77.3,2683,,0.86,,5000.0,
54,162.0,80.6,3636,,1.0,460.0,,
27,174.9,72.2,2498,,0.23,324.0,10000.0,40000.0
70,165.7,81.3,500,,0.11,,10000.0,
37,190.0,84.8,2559,3.0,0.28,,10000.0,
70,182.7,60.4,3065,,0.62,,10000.0,
34,191.8,68.9,2268,1.0,0.2,,5000.0,
26,168.3,61.4,3040,,0.96,,5000.0,
63,152.0,74.4,3058,,0.39,,5000.0,
24,173.1,71.3,2948,,0.04,,1223.23,
57,162.4,62.6,3246,2.0,0.73,470.0,1064.72,40000.0
43,171.1,92.5,5592,,0.54,419.0,10000.0,40000.0
63,164.2,83.2,3737,,0.73,304.0,1050.57,40000.0
73,167.8,28.2,1509,,0.34,,5000.0,
60,158.6,64.7,2599,4.0,0.94,,,
72,163.7,59.3,3914,1.0,0.65,,1238.38,
54,173.4,60.7,880,4.0,0.2,793.0,10000.0,40000.0
28,174.3,80.8,2736,4.0,0.66,514.0,,
43,150.7,72.5,3149,3.0,0.17,,564.03,
32,193.1,34.5,2394,,0.36,,10000.0,
71,194.7,72.7,2262,1.0,0.26,641.0,5000.0,40000.0
26,175.0,83.5,2130,,0.12,,,
62,158.5,73.7,5703,,0.14,,10000.0,
34,161.2,95.3,1731,,0.91,,,
29,157.6,73.7,3231,2.0,1.0,,640.46,
61,168.8,55.4,1979,,0.97,,10000.0,
31,178.0,95.9,4190,5.0,0.72,,5000.0,
66,162.4,58.3,3988,5.0,0.99,,,
53,183.1,78.8,4818,4.0,0.42,,,
29,162.4,70.1,2569,4.0,0.95,,,
29,183.7,58.1,1545,1.0,0.54,,5000.0,
26,179.1,83.0,1687,1.0,0.77,,,
42,183.7,43.7,4061,,1.0,,5000.0,
66,144.5,53.5,883,,0.33,,718.86,
23,172.2,97.9,500,1.0,0.87,,5000.0,
29,165.9,97.8,2535,,0.75,328.0,721.73,40000.0
47,169.5,77.7,2554,,0.28,414.0,,
42,168.0,57.7,1696,2.0,0.76,,5000.0,
64,165.8,76.6,1655,4.0,0.96,801.0,10000.0,40000.0
55,177.2,54.9,3677,,0.31,457.0,766.15,40000.0
41,182.6,80.8,2064,,0.09,,1348.0,
51,175.6,68.4,2811,3.0,0.29,,10000.0,
47,187.6,75.0,1543,2.0,0.04,532.0,10000.0,40000.0
37,154.5,64.2,1879,,0.24,,5000.0,
49,158.3,68.7,3423,4.0,0.46,686.0,10000.0,40000.0
40,166.2,82.2,500,0.0,0.92,,950.1,
22,156.3,52.5,2234,1.0,0.01,798.0,5000.0,40000.0
48,182.0,87.5,3380,0.0,0.63,840.0,924.16,40000.0
39,185.4,72.4,3163,4.0,0.53,,5000.0,
56,159.0,85.6,3270,,0.75,,,
23,169.9,83.0,1936,1.0,0.0,805.0,1053.81,40000.0
29,173.6,46.7,3220,,0.58,,836.4,
42,155.3,73.8,2752,,0.74,365.0,,
18,172.4,69.6,2699,,0.87,595.0,10000.0,40000.0
35,165.6,66.0,1356,3.0,0.38,,,
22,153.4,64.0,3421,2.0,0.72,,,
55,191.1,77.9,1797,,0.62,,10000.0,
35,179.9,65.6,1082,,0.66,688.0,5000.0,40000.0
44,165.8,70.9,1915,,0.8,,,
32,170.5,54.8,3768,,0.73,,,
63,163.1,52.0,1292,1.0,0.32,500.0,,
31,156.3,76.1,1564,0.0,0.57,,5000.0,
34,173.8,26.1,3731,,1.0,,,
66,163.1,65.5,2404,,0.21,,864.93,
59,177.6,56.6,3457,,0.45,785.0,679.67,40000.0
42,183.2,80.9,4404,,0.01,714.0,5000.0,40000.0
19,174.5,48.1,2326,1.0,0.52,539.0,,
47,170.9,83.8,2453,4.0,0.99,606.0,10000.0,40000.0
75,183.5,75.5,4748,,0.89,,5000.0,
23,162.9,59.8,1959,5.0,0.06,,5000.0,
41,171.9,96.9,5135,,0.54,340.0,,
57,155.5,72.7,2410,3.0,0.51,843.0,5000.0,40000.0
28,153.2,65.3,4286,2.0,0.02,,10000.0,
64,167.1,67.3,2204,4.0,0.87,817.0,,
43,168.7,73.5,3262,1.0,0.96,497.0,10000.0,40000.0
32,149.5,48.9,1505,,0.34,,10000.0,
72,172.9,86.2,2472,0.0,0.79,829.0,772.17,40000.0
41,158.2,64.5,1840,0.0,0.24,526.0,5000.0,40000.0
69,152.5,55.0,3988,0.0,0.41,,,
39,166.6,78.5,1866,,0.87,835.0,423.33,40000.0
30,169.3,42.9,3493,0.0,0.56,,860.07,
33,167.1,62.4,3007,,0.05,,10000.0,
24,164.2,56.8,2884,1.0,0.6,,,
50,179.6,66.3,2288,,0.89,,5000.0,
45,195.9,83.5,1255,1.0,0.36,,1115.42,
75,172.9,86.9,2695,,0.09,,10000.0,
59,165.9,56.6,3374,3.0,0.57,,5000.0,
42,147.9,72.2,3156,,0.89,,,
69,168.9,87.5,2984,4.0,0.74,481.0,10000.0,40000.0
22,177.6,84.4,2759,2.0,0.45,618.0,,
21,168.3,87.4,500,,0.08,,10000.0,
57,157.0,71.6,3832,0.0,0.19,,622.95,
38,174.8,72.7,1376,5.0,0.15,,10000.0,
38,156.9,73.8,3146,1.0,0.65,,5000.0,
64,165.1,100.6,1857,5.0,0.51,758.0,762.14,40000.0
24,174.6,59.9,1543,,0.48,357.0,1055.35,40000.0
24,164.3,44.2,3370,4.0,1.0,,,
18,171.3,58.0,2416,,0.5,,5000.0,
40,168.7,69.5,2939,,0.99,308.0,5000.0,40000.0
22,175.6,49.1,2190,3.0,0.34,,10000.0,
68,170.9,103.7,2640,5.0,0.75,,1059.28,
60,186.9,67.6,2170,0.0,0.93,306.0,10000.0,40000.0
37,157.9,70.5,2386,,0.03,,5000.0,
75,166.6,67.4,1815,,0.47,641.0,10000.0,40000.0
37,172.1,57.5,3427,0.0,0.73,,10000.0,
19,158.7,63.2,3197,,0.01,,10000.0,
43,177.1,36.3,2902,5.0,0.27,582.0,620.97,40000.0
46,192.7,61.8,3129,5.0,0.29,761.0,709.25,40000.0
66,167.0,58.8,791,,0.61,,,
55,185.4,76.0,3892,2.0,0.22,379.0,5000.0,40000.0
60,166.9,70.3,2764,1.0,0.52,384.0,10000.0,40000.0
44,170.3,52.5,500,,0.85,,,
71,170.3,52.7,3205,0.0,0.33,,5000.0,
57,174.0,54.6,3808,,0.3,,5000.0,
75,174.4,84.6,1527,0.0,0.85,509.0,1004.04,40000.0
22,161.7,56.6,1400,,0.87,740.0,10000.0,40000.0
64,162.6,87.2,3325,3.0,0.87,,10000.0,
20,157.8,54.3,1722,3.0,0.31,793.0,,
46,185.3,78.7,2295,2.0,0.88,,10000.0,
62,161.1,73.8,2466,0.0,0.38,,10000.0,
34,160.0,56.0,2993,,0.35,,1254.91,
60,182.3,59.6,1808,5.0,0.14,621.0,,
21,176.1,52.1,500,4.0,0.23,474.0,,
50,180.9,82.5,1390,4.0,0.39,,,
28,165.9,80.2,3683,4.0,0.75,,1167.07,
31,173.8,48.6,1188,,0.93,589.0,5000.0,40000.0
71,174.3,86.8,2028,3.0,0.73,,,
32,153.1,62.6,1916,,0.76,815.0,,
19,167.8,73.2,2612,,0.75,398.0,,
28,174.2,93.0,595,,0.17,344.0,10000.0,40000.0
28,171.7,41.7,2269,,0.84,,536.23,
33,181.0,68.4,2105,,0.35,747.0,5000.0,40000.0
55,175.1,74.1,2389,,0.6,727.0,720.29,40000.0
59,184.2,62.3,3415,1.0,0.91,,10000.0,
19,171.4,82.6,1456,,0.22,664.0,5000.0,40000.0
30,178.5,84.7,2542,2.0,0.35,847.0,,
27,157.8,76.4,3013,,0.49,,998.58,
19,168.7,80.9,4468,5.0,0.21,,5000.0,
63,178.8,82.9,3564,,0.6,738.0,5000.0,40000.0
57,155.1,82.4,4435,5.0,0.31,412.0,,
22,180.1,73.0,968,,0.57,,1088.27,
66,152.9,55.7,860,,0.84,772.0,287.02,40000.0
21,164.4,44.6,3760,4.0,0.1,698.0,1061.27,40000.0
47,163.0,79.5,2812,,0.16,508.0,,
53,175.1,66.2,2176,,0.48,,676.23,
73,172.1,52.8,4055,,0.38,848.0,,
31,158.2,84.8,3375,3.0,0.79,392.0,5000.0,40000.0
47,165.7,78.2,1066,5.0,0.82,713.0,10000.0,40000.0
64,179.0,67.3,1755,,0.12,,5000.0,
35,168.6,58.8,1549,2.0,0.12,,10000.0,
25,161.6,70.8,944,,0.75,,1277.23,
35,161.4,81.5,1761,1.0,0.49,,5000.0,
66,183.0,67.3,817,3.0,0.25,470.0,5000.0,40000.0
24,161.6,81.2,3136,,0.29,743.0,10000.0,40000.0
40,183.8,70.1,1816,,0.41,805.0,10000.0,40000.0
47,167.4,109.5,1557,2.0,0.21,,5000.0,
57,158.0,63.6,3033,5.0,0.09,,5000.0,
55,134.2,49.9,3732,,0.3,,1073.76,
66,155.9,55.4,1396,0.0,0.04,333.0,825.63,40000.0
45,171.5,48.8,3137,,0.57,,748.34,
24,173.1,73.5,1414,,0.7,,,
45,164.8,63.6,2303,4.0,0.81,,,
34,151.3,56.3,3109,,0.68,,5000.0,
75,164.6,88.5,2135,,0.24,662.0,,
71,188.4,82.5,2022,,0.24,,,
75,160.7,81.1,2985,,0.88,344.0,5000.0,40000.0
48,166.9,84.3,500,4.0,0.38,,,
27,196.5,77.2,2783,1.0,0.59,,5000.0,
45,172.7,84.8,2930,5.0,0.79,,,
27,173.5,69.7,3451,,0.14,,337.99,
28,184.8,66.1,5155,4.0,0.41,,,
55,180.9,75.5,2494,5.0,0.34,,10000.0,
68,187.1,46.4,3508,,0.24,,,
55,171.7,89.9,3610,,0.99,422.0,5000.0,40000.0
54,161.1,74.9,1283,,0.69,322.0,,
35,173.0,49.2,2554,5.0,0.01,,,
58,184.0,48.0,1868,,0.44,455.0,,
25,180.5,66.3,2871,,0.47,614.0,1273.39,40000.0
49,176.6,53.4,1249,,0.66,,5000.0,
40,171.4,69.9,2780,,0.19,846.0,10000.0,40000.0
18,182.4,84.6,2993,,0.99,372.0,1305.51,40000.0
72,189.5,66.8,648,,0.83,426.0,410.84,40000.0
50,182.0,63.0,2360,0.0,0.31,329.0,5000.0,40000.0
73,158.8,79.5,2861,4.0,0.39,513.0,10000.0,40000.0
58,181.3,109.4,2163,1.0,0.82,,5000.0,
67,170.8,84.0,3943,,0.34,402.0,494.09,40000.0
25,171.8,64.5,2444,,0.17,394.0,788.89,40000.0
36,183.2,71.5,2227,,0.37,,,
23,159.9,57.7,2365,,0.75,725.0,,
65,156.5,57.4,1232,4.0,0.19,365.0,5000.0,40000.0
69,160.3,57.9,1418,,0.24,,10000.0,
74,169.7,94.2,2229,,0.83,,562.45,
58,174.2,83.7,886,1.0,0.73,,,
54,162.1,63.3,2782,0.0,0.29,,10000.0,
55,175.6,55.1,2262,,0.74,,674.55,
60,146.3,103.6,3510,,0.26,,10000.0,
49,154.1,75.4,4126,3.0,0.68,,,
66,182.7,68.6,3675,0.0,0.21,,,
65,163.7,80.2,2611,,0.64,393.0,,
25,176.9,80.4,3748,,0.05,,10000.0,
39,180.0,33.6,2075,3.0,0.22,641.0,5000.0,40000.0
54,159.3,59.1,2115,1.0,0.95,,10000.0,
72,156.7,74.0,3625,,0.21,458.0,10000.0,40000.0
68,166.2,53.8,1828,3.0,0.35,,1156.54,
53,177.0,69.6,2616,0.0,0.8,,,
18,166.9,48.5,3252,2.0,0.6,,10000.0,
39,186.0,98.0,3300,3.0,0.24,,,
75,170.3,58.8,4293,1.0,0.13,498.0,994.37,40000.0
63,168.6,95.4,500,1.0,0.59,595.0,345.46,40000.0
57,174.3,51.6,997,,0.59,,,
64,177.2,82.1,2997,2.0,0.2,,5000.0,
20,167.1,65.7,2381,3.0,0.26,570.0,,
45,172.0,65.2,1359,5.0,0.22,,,
68,175.0,56.8,923,0.0,0.78,,5000.0,
71,159.1,49.8,2049,,0.44,,5000.0,
72,176.3,41.9,3597,,0.46,381.0,5000.0,40000.0
34,166.3,80.5,1967,4.0,0.23,643.0,210.34,40000.0
69,172.2,59.8,4819,,0.68,,,
39,171.6,84.8,3214,,0.51,,10000.0,
55,148.7,63.3,2295,,0.62,700.0,10000.0,40000.0
34,191.4,68.9,3329,,0.21,558.0,10000.0,40000.0
24,176.3,80.5,3427,,0.69,,5000.0,
32,185.5,80.4,3357,2.0,0.95,651.0,852.37,40000.0
57,157.3,65.3,2299,,0.58,569.0,5000.0,40000.0
33,159.9,71.3,1787,5.0,0.7,349.0,,
69,175.8,93.0,1098,,0.21,555.0,,
39,168.4,61.9,3914,,0.08,378.0,10000.0,40000.0
25,158.8,98.9,2535,4.0,0.67,,442.5,
59,165.6,93.2,1749,,0.91,333.0,1031.37,40000.0
20,175.2,82.0,1365,1.0,0.32,,,
57,147.8,86.6,2485,3.0,0.62,,5000.0,
41,169.1,71.0,2218,5.0,0.86,,5000.0,
54,160.9,61.1,4157,,0.97,569.0,,
21,193.2,49.9,576,,0.07,337.0,,
35,165.1,52.1,2013,1.0,0.96,,10000.0,
50,182.7,82.7,3221,,0.88,535.0,,
37,162.3,78.6,5641,,0.48,769.0,571.87,40000.0
70,164.4,81.3,3017,,0.02,,5000.0,
27,161.4,60.7,2984,0.0,0.11,828.0,10000.0,40000.0
70,196.6,102.0,2031,,0.84,,10000.0,
72,173.6,69.3,1089,,0.49,,5000.0,
56,165.0,84.3,500,,0.84,,740.96,
33,152.4,56.5,3089,,0.1,449.0,488.4,40000.0
31,192.7,83.5,2810,,0.52,510.0,10000.0,40000.0
64,174.6,70.5,2818,,0.64,,903.86,
19,168.1,56.6,2991,,0.91,,10000.0,
27,165.8,82.6,956,,0.16,,62.87,
41,174.6,73.1,2996,4.0,0.01,429.0,10000.0,40000.0
68,188.8,63.3,2304,4.0,0.6,,990.99,
24,154.6,70.5,4342,,0.83,,372.16,
19,172.3,90.3,500,3.0,0.6,,,
35,175.4,45.1,3862,,0.35,,10000.0,
31,170.4,57.5,2582,1.0,0.07,,5000.0,
56,186.8,67.0,2118,5.0,0.24,475.0,1172.12,40000.0
30,177.7,57.8,500,,0.45,760.0,10000.0,40000.0
62,164.1,31.1,5810,3.0,0.3,455.0,,
38,162.2,70.2,1796,,0.49,,1159.64,
25,172.5,32.8,500,2.0,0.53,,520.1,
61,155.7,43.9,2287,,0.3,637.0,,
37,167.1,85.9,2816,,0.13,,,
62,178.5,79.2,2185,,0.19,835.0,663.34,40000.0
28,171.5,79.7,2854,,0.87,,10000.0,
61,143.5,79.3,661,3.0,0.21,,750.51,
30,164.1,82.9,1989,5.0,0.64,313.0,,
27,171.4,78.9,4527,0.0,0.96,,5000.0,
47,182.6,68.2,3045,5.0,0.76,579.0,10000.0,40000.0
30,177.1,25.5,2473,,0.28,680.0,1007.14,40000.0
52,150.3,56.3,1824,2.0,0.4,,10000.0,
56,155.8,67.0,3871,,0.61,768.0,,
60,163.7,80.4,2551,1.0,0.62,360.0,1170.11,40000.0
